team,pa,ab,hits,doubles,triples,hr,bb,hbp,sf,k,runs,avg,obp,slg,ops
arizona diamondbacks,5145.333333333333,4554.0,1121.6666666666667,231.0,34.0,150.0,455.0,56.333333333333336,46.666666666666664,1028.0,631.6666666666666,0.24566666666666667,0.319,0.4083333333333334,0.7273333333333333
athletics,5117.0,4589.0,1133.6666666666667,224.0,12.666666666666666,168.33333333333334,431.3333333333333,50.666666666666664,26.333333333333332,1167.3333333333333,593.6666666666666,0.24633333333333332,0.31666666666666665,0.4096666666666667,0.7263333333333333
atlanta braves,5097.333333333333,4570.0,1130.3333333333333,209.66666666666666,12.333333333333334,172.66666666666666,431.0,49.0,36.0,1106.3333333333333,635.3333333333334,0.24766666666666667,0.316,0.413,0.729
baltimore orioles,5052.666666666667,4478.666666666667,1053.6666666666667,200.33333333333334,18.333333333333332,159.0,473.3333333333333,54.333333333333336,33.666666666666664,1227.0,587.6666666666666,0.235,0.315,0.3946666666666667,0.7096666666666667
boston red sox,5086.666666666667,4527.333333333333,1133.3333333333333,252.0,20.0,142.66666666666666,424.0,70.66666666666667,41.0,1127.0,616.0,0.25,0.3213333333333333,0.4076666666666667,0.729
chicago cubs,5248.666666666667,4611.666666666667,1153.0,225.66666666666666,23.0,177.66666666666666,530.6666666666666,58.0,40.333333333333336,1119.6666666666667,687.0,0.24966666666666668,0.3333333333333333,0.424,0.7573333333333334
chicago white sox,5011.666666666667,4455.0,1048.0,204.33333333333334,10.666666666666666,159.66666666666666,435.3333333333333,63.666666666666664,31.333333333333332,1177.3333333333333,593.0,0.2353333333333333,0.3113333333333333,0.3956666666666666,0.707
cincinnati reds,5004.0,4454.0,1043.6666666666667,198.66666666666666,15.0,159.0,461.0,41.666666666666664,32.0,1229.0,563.3333333333334,0.233,0.3096666666666667,0.393,0.7026666666666666
cleveland guardians,5021.666666666667,4447.333333333333,1023.6666666666666,199.66666666666666,13.333333333333334,134.0,462.6666666666667,48.0,37.333333333333336,1114.6666666666667,536.3333333333334,0.2306666666666667,0.308,0.371,0.6789999999999999
colorado rockies,5034.0,4541.333333333333,1125.6666666666667,231.66666666666666,29.0,144.66666666666666,379.6666666666667,56.0,39.0,1203.0,583.6666666666666,0.249,0.313,0.4093333333333333,0.7223333333333333
detroit tigers,5081.0,4520.666666666667,1105.3333333333333,203.33333333333334,28.0,162.66666666666666,456.3333333333333,52.333333333333336,40.666666666666664,1174.6666666666667,618.6666666666666,0.24433333333333332,0.31866666666666665,0.409,0.7276666666666666
houston astros,5113.0,4568.666666666667,1124.0,203.66666666666666,11.333333333333334,168.66666666666666,431.0,63.0,32.666666666666664,1091.6666666666667,601.3333333333334,0.24533333333333332,0.3176666666666667,0.40700000000000003,0.7246666666666667
kansas city royals,5047.333333333333,4535.666666666667,1110.6666666666667,243.33333333333334,18.0,134.33333333333334,395.6666666666667,51.666666666666664,40.333333333333336,1007.3333333333334,552.3333333333334,0.24433333333333332,0.31033333333333335,0.395,0.7053333333333333
los angeles angels,5023.333333333333,4484.666666666667,1035.6666666666667,189.33333333333334,13.0,158.0,417.3333333333333,74.33333333333333,27.666666666666668,1305.0,553.0,0.23166666666666666,0.306,0.383,0.6890000000000001
los angeles dodgers,5144.333333333333,4543.0,1170.0,218.33333333333334,15.0,184.66666666666666,495.3333333333333,46.666666666666664,44.0,1080.3333333333333,679.0,0.25833333333333336,0.33433333333333337,0.43366666666666664,0.7680000000000001
miami marlins,5079.333333333333,4526.333333333333,1134.0,222.0,27.666666666666668,133.33333333333334,433.3333333333333,60.666666666666664,40.0,1069.0,592.3333333333334,0.25066666666666665,0.32266666666666666,0.401,0.7236666666666666
milwaukee brewers,5197.0,4557.333333333333,1157.0,231.66666666666666,19.333333333333332,129.33333333333334,524.6666666666666,44.333333333333336,36.666666666666664,1094.6666666666667,663.3333333333334,0.25333333333333335,0.33466666666666667,0.39766666666666667,0.7323333333333334
minnesota twins,5101.666666666667,4552.666666666667,1103.6666666666667,214.33333333333334,18.666666666666668,159.0,431.6666666666667,73.33333333333333,35.333333333333336,1114.6666666666667,606.6666666666666,0.24266666666666667,0.316,0.403,0.719
new york mets,5120.0,4557.0,1097.0,188.66666666666666,17.0,173.33333333333334,449.0,57.0,37.666666666666664,1133.0,595.3333333333334,0.23966666666666667,0.31266666666666665,0.401,0.7136666666666667
new york yankees,5065.0,4473.666666666667,1071.0,207.66666666666666,16.666666666666668,204.0,506.3333333333333,37.0,36.0,1220.3333333333333,646.3333333333334,0.23833333333333337,0.318,0.427,0.745
philadelphia phillies,5100.666666666667,4559.0,1120.6666666666667,202.66666666666666,20.666666666666668,170.0,433.3333333333333,54.0,40.666666666666664,1143.6666666666667,616.0,0.244,0.31466666666666665,0.40900000000000003,0.7236666666666666
pittsburgh pirates,5170.0,4598.333333333333,1130.6666666666667,207.0,15.0,135.66666666666666,470.0,60.0,30.0,1240.6666666666667,597.0,0.247,0.3236666666666667,0.3893333333333333,0.7130000000000001
san diego padres,5051.0,4488.666666666667,1093.6666666666667,204.66666666666666,13.333333333333334,140.0,446.0,50.0,36.333333333333336,1045.0,582.0,0.24266666666666667,0.31633333333333336,0.38866666666666666,0.705
san francisco giants,5042.666666666667,4533.666666666667,1100.3333333333333,215.0,24.666666666666668,147.0,398.0,48.0,40.666666666666664,1095.3333333333333,563.6666666666666,0.24366666666666667,0.3076666666666667,0.3993333333333333,0.707
seattle mariners,5065.333333333333,4494.0,1055.6666666666667,173.33333333333334,9.666666666666666,173.33333333333334,446.0,78.33333333333333,31.333333333333332,1168.6666666666667,567.3333333333334,0.2333333333333333,0.312,0.38999999999999996,0.702
st. louis cardinals,5072.333333333333,4509.666666666667,1093.0,202.0,11.0,130.66666666666666,421.3333333333333,78.0,40.0,1062.3333333333333,582.3333333333334,0.24233333333333332,0.3153333333333333,0.379,0.6943333333333332
tampa bay rays,5038.333333333333,4507.333333333333,1157.3333333333333,196.0,18.0,146.0,418.0,45.333333333333336,36.333333333333336,1035.0,604.0,0.25766666666666665,0.325,0.4056666666666667,0.7306666666666667
texas rangers,5026.666666666667,4498.333333333333,1077.6666666666667,197.0,17.666666666666668,149.0,420.6666666666667,58.333333333333336,29.333333333333332,1129.6666666666667,559.3333333333334,0.24,0.312,0.39166666666666666,0.7036666666666666
toronto blue jays,5089.333333333333,4574.333333333333,1152.3333333333333,224.66666666666666,9.0,140.33333333333334,396.0,51.666666666666664,39.666666666666664,959.0,587.3333333333334,0.25033333333333335,0.3136666666666667,0.39366666666666666,0.7073333333333333
washington nationals,5142.0,4600.0,1141.6666666666667,227.33333333333334,26.0,171.0,433.6666666666667,58.333333333333336,32.0,1126.3333333333333,665.6666666666666,0.24866666666666667,0.32,0.42366666666666664,0.7436666666666666
