date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,model_bias,ou_line,ou_result
2026-06-22,Detroit Tigers,New York Yankees,5,3,8,Detroit Tigers,Detroit Tigers,52.8,47.2,True,52.8,7.78,0.21999999999999975,True,LOW,8.5,UNDER
2026-06-22,Tampa Bay Rays,Kansas City Royals,1,2,3,Kansas City Royals,Kansas City Royals,41.7,58.3,True,58.3,8.5,5.5,False,HIGH,7.5,UNDER
2026-06-22,Miami Marlins,Texas Rangers,3,4,7,Texas Rangers,Miami Marlins,77.4,22.6,False,77.4,8.99,1.9900000000000002,False,HIGH,8.5,UNDER
2026-06-22,Washington Nationals,Philadelphia Phillies,4,1,5,Washington Nationals,Washington Nationals,56.8,43.2,True,56.8,7.61,2.6100000000000003,True,HIGH,9.5,UNDER
2026-06-22,Toronto Blue Jays,Houston Astros,4,2,6,Toronto Blue Jays,Houston Astros,41.3,58.7,False,58.7,9.92,3.92,False,HIGH,7.0,UNDER
2026-06-22,Cincinnati Reds,Milwaukee Brewers,1,2,3,Milwaukee Brewers,Milwaukee Brewers,28.3,71.7,True,71.7,8.48,5.48,False,HIGH,9.5,UNDER
2026-06-22,Minnesota Twins,Los Angeles Dodgers,1,2,3,Los Angeles Dodgers,Minnesota Twins,56.6,43.4,False,56.6,10.54,7.539999999999999,False,HIGH,10.0,UNDER
2026-06-22,Chicago White Sox,Cleveland Guardians,6,5,11,Chicago White Sox,Cleveland Guardians,47.9,52.1,False,52.1,8.45,2.5500000000000007,False,LOW,7.5,OVER
2026-06-22,St. Louis Cardinals,Arizona Diamondbacks,3,2,5,St. Louis Cardinals,Arizona Diamondbacks,49.4,50.6,False,50.6,11.06,6.0600000000000005,False,HIGH,8.5,UNDER
2026-06-22,Colorado Rockies,Boston Red Sox,3,2,5,Colorado Rockies,Boston Red Sox,33.4,66.6,False,66.6,9.87,4.869999999999999,False,HIGH,11.75,UNDER
2026-06-22,Los Angeles Angels,Baltimore Orioles,1,6,7,Baltimore Orioles,Baltimore Orioles,34.5,65.5,True,65.5,9.94,2.9399999999999995,True,HIGH,9.0,UNDER
2026-06-22,San Diego Padres,Atlanta Braves,1,0,1,San Diego Padres,San Diego Padres,66.8,33.2,True,66.8,8.1,7.1,False,HIGH,7.5,UNDER
2026-06-22,New York Mets,Chicago Cubs,0,0,0,Chicago Cubs,Chicago Cubs,22.7,77.3,True,77.3,9.0,9.0,False,HIGH,,
